SampleID,Acidovorax,Acinetobacter,Actinobacillus,Actinomyces,Adlercreutzia,Aerococcus,Agrobacterium,Akkermansia,Alishewanella,Alistipes,Alloiococcus,Anaerobacillus,Anaerococcus,Anaerovibrio,Anoxybacillus,Arthrobacter,Asticcacaulis,Bacillus,Bacteroides,Bifidobacterium,Bilophila,Blautia,Brachybacterium,Brevibacillus,Brevibacterium,Brevundimonas,Bulleidia,Burkholderia,Butyricicoccus,Campylobacter,Candidatus Nitrososphaera,Carnobacterium,Caulobacter,Cellvibrio,Cloacibacterium,Clostridium,Collinsella,Coprococcus,Corynebacterium,Cytophaga,DA101,Dehalobacterium,Deinococcus,Desulfovibrio,Devosia,Dialister,Dietzia,Dorea,Enhydrobacter,Enterococcus,Faecalibacterium,Finegoldia,Flavobacterium,Fusobacterium,Gardnerella,Gemella,Gemmata,Gemmiger,Granulicatella,Haemophilus,Halomonas,Hymenobacter,Janthinobacterium,Jeotgalicoccus,Kaistobacter,Kocuria,Lactobacillus,Lactococcus,Leptotrichia,Leuconostoc,Massilia,Megasphaera,Methanobrevibacter,Microbacterium,Micrococcus,Moraxella,Mucispirillum,Mycobacterium,N09,Neisseria,Nesterenkonia,Nocardioides,Novosphingobium,Odoribacter,Oscillospira,Paenibacillus,Parabacteroides,Paracoccus,Pedobacter,Peptoniphilus,Phenylobacterium,Planctomyces,Porphyromonas,Prevotella,Pseudomonas,Pseudonocardia,Psychrobacter,Rhodococcus,Rhodoplanes,Roseburia,Roseomonas,Rothia,Rubrobacter,Ruminococcus,Saccharopolyspora,Salinicoccus,Sediminibacterium,Sphingobacterium,Sphingobium,Sphingopyxis,Staphylococcus,Stenotrophomonas,Streptococcus,Streptomyces,Succinivibrio,Sutterella,Turicibacter,Veillonella,Cutibacterium,Eubacterium
LK16S004-057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998275682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001045041,0,0,0,0,0,0
LK16S004-058,0,0.040816327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015306122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003826531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021683673,0,0.918367347,0,0,0,0,0,0,0
LK16S004-059,0,0.008391801,0.001238135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026275966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001238135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001100564,0,0,0,0,0,0,0,0,0,0,0.039070023,0,0.001513276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.920621819,0,0,0,0,0,0,0
LK16S004-060,0,0.021338506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007759457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247332687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004849661,0,0,0,0,0,0,0,0.0785645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.476236663,0,0.005819593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149369544,0,0,0.002909796,0,0,0,0.005819593,0,0
LK16S004-061,0,0.009622887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00390117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.980494148,0,0.002340702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002860858,0,0,0,0,0,0
LK16S004-062,0,0.001212255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00154287,0,0,0,0,0,0,0,0,0,0,0.184923959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.812100507,0,0,0,0,0,0,0
LK16S004-063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001584522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.978233675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019764824,0,0,0,0,0,0,0
LK16S004-070,0,0.727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK16S004-071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001813734,0,0,0,0,0,0.498354986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.499831281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK16S004-072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.853274459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143746343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
