SampleID,Prevotella,Achromobacter,Acidovorax,Acinetobacter,Aeromonas,Alishewanella,Alloiococcus,Anaerobacillus,Anaerococcus,Anoxybacillus,Arthrobacter,Azospirillum,Bacillus,Bacteroides,Blastomonas,Blautia,Brachybacterium,Bradyrhizobium,Brevundimonas,Candidatus Nitrososphaera,Cellvibrio,Cloacibacterium,Clostridium,Comamonas,Coprococcus,Corynebacterium,Cytophaga,DA101,Dietzia,Elizabethkingia,Enhydrobacter,Enterobacter,Enterococcus,Erysipelothrix,Flavobacterium,Fusobacterium,Gardnerella,Georgenia,Halomonas,Herbaspirillum,Janthinobacterium,Kocuria,Lactobacillus,Massilia,Mesorhizobium,Microbacterium,Micrococcus,Mycobacterium,Novosphingobium,Odoribacter,Oscillospira,Paenibacillus,Parabacteroides,Paracoccus,Pedobacter,Phenylobacterium,Porphyromonas,Prevotella,Cutibacterium,Pseudochrobactrum,Pseudomonas,Rhodoplanes,Roseburia,Rothia,Ruminococcus,Sediminibacterium,Sphingobium,Staphylococcus,Stenotrophomonas,Streptococcus,Streptomyces,Turicibacter,Xanthomonas
LKMB005_063,0,0.004342273,0,0.015581098,0,0,0,0,0,0,0,0,0.032439336,0.004853129,0,0,0,0,0,0,0,0.001021711,0.008173691,0,0.01890166,0.006385696,0,0,0,0,0,0,0,0,0,0,0,0.00357599,0,0,0.016091954,0,0.255427842,0,0,0,0.004342273,0,0,0,0.016858238,0,0.002298851,0,0.00945083,0,0,0.002809706,0,0,0.491443167,0,0.008173691,0,0,0.003320562,0,0.010217114,0.001277139,0,0,0.083014049,0
LKMB005_064,0,0.002137931,0,0.012413793,0,0,0,0,0,0,0,0,0.037758621,0,0,0,0,0,0.053689655,0,0,0,0,0.019586207,0,0.003965517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282068966,0,0,0,0,0,0,0.001724138,0,0,0,0,0,0,0.023655172,0,0,0,0.001206897,0.002275862,0.484931034,0,0,0,0,0.005137931,0,0,0.057068966,0.003862069,0,0.003551724,0.001413793
LKMB005_065,0,0,0,0.003723906,0,0.005559635,0.01028008,0,0,0,0,0,0.059110458,0,0,0,0,0,0.001940627,0,0,0.021032204,0,0.003933704,0,0.008339452,0.004772894,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078044687,0,0,0,0.002674919,0,0.01452848,0,0,0,0,0,0,0,0.009703136,0,0,0,0,0,0.737333473,0.010909472,0,0,0,0,0,0,0.007185566,0,0.008916396,0.009755586,0
LKMB005_066,0,0,0.005687115,0.006153272,0,0,0,0,0,0,0,0,0.064143203,0,0.003263099,0.007085586,0,0,0.019205668,0,0,0,0.014730561,0.007644975,0.007738206,0.002237554,0,0,0,0,0,0,0,0.007924669,0,0,0,0,0,0,0.086145814,0,0.071508484,0,0,0,0,0.002144322,0,0,0.032164833,0,0.00335633,0,0.013705016,0,0,0,0.004195413,0,0.560880104,0,0,0.002890173,0.017900429,0.004848033,0.002890173,0.009696066,0.030206974,0.001491702,0,0.006619429,0.003263099
LKMB005_067,0,0,0,0.008105653,0,0,0,0.001537279,0,0,0,0,0.054224023,0,0.004332332,0,0,0.005799734,0.010691077,0,0.003144434,0,0.006498498,0,0.002166166,0,0,0,0,0,0.005799734,0,0.003144434,0,0,0,0,0,0.005100971,0,0.061071903,0.007127385,0,0,0.004332332,0,0,0,0,0,0,0,0,0,0.003214311,0,0,0,0,0,0.531060024,0,0.001118021,0,0,0.011110335,0,0.010341695,0.02012438,0.237509608,0,0,0.002445671
LKMB005_068,0,0,0,0.023217372,0,0,0,0,0.002629799,0,0,0,0.053197085,0,0,0,0,0.005034187,0,0,0.011796529,0,0,0.029453753,0.002329251,0.010143512,0,0,0,0,0,0,0,0,0,0,0.001127057,0,0.007288301,0.004357953,0.110526711,0,0.034037118,0,0.007363438,0,0,0,0,0,0,0,0,0,0.003080622,0,0,0,0,0,0.644601398,0.007889398,0,0,0,0,0.00548501,0.001277331,0.027425051,0.006912616,0,0,0
LKMB005_081,0,0,0,0.019746835,0.002025316,0,0,0,0,0,0,0,0.075189873,0,0,0,0,0,0.025316456,0,0.004303797,0,0,0.021772152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001518987,0,0.173417722,0,0.006075949,0,0,0,0.068860759,0,0,0,0,0,0,0,0.015443038,0.003037975,0,0,0.004050633,0.00278481,0.458227848,0,0,0,0,0.012658228,0,0.021265823,0.04556962,0,0.003544304,0.03443038,0
LKMB005_082,0,0,0,0.016709512,0,0,0,0,0,0,0.011568123,0,0.091188232,0,0,0,0,0,0.02106541,0.010782634,0,0,0,0,0,0.015495573,0.001428163,0,0.003570408,0.005355613,0,0.00742645,0,0.006069694,0,0,0,0,0,0,0.108611825,0,0,0,0,0,0,0,0,0.01599543,0,0,0,0,0.015495573,0,0,0,0,0,0.602756355,0,0,0,0,0.022564981,0,0,0.04291631,0,0,0,0
LKMB005_083,0,0,0,0.012199037,0.005724987,0,0,0,0,0,0,0,0.07517389,0,0,0.003959337,0,0,0.021455324,0,0,0,0,0.005617978,0,0,0,0,0,0,0,0,0,0,0,0,0.005403959,0,0.00176565,0,0.143927234,0,0,0,0,0,0.053584805,0,0,0,0,0.008266453,0,0,0.021749599,0,0,0,0.001444623,0,0.568111289,0,0,0,0,0,0.002461209,0,0.066693419,0,0,0.002461209,0
LKMB005_084,0,0,0,0,0,0,0,0,0,0,0,0,0.10690597,0,0,0,0,0,0,0,0.005462349,0,0,0.015801795,0,0.011705033,0,0.010144362,0,0.01053453,0,0,0,0,0,0,0,0,0.012095201,0,0.160554038,0.014241124,0,0,0.007413188,0,0.035895435,0,0,0,0,0,0,0,0.00351151,0,0,0,0,0,0.521849395,0,0,0,0,0.0060476,0,0,0.038821693,0,0,0.039016777,0
LKMB005_085,0,0,0,0.010264342,0,0,0,0,0,0.011248594,0,0,0.083239595,0,0,0,0,0.008858268,0.010545557,0,0,0,0,0.007311586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007452193,0,0.196287964,0,0,0,0,0,0.033464567,0,0,0,0,0,0,0,0.013498313,0,0,0,0,0,0.598847019,0,0,0,0,0.010404949,0,0,0.008577053,0,0,0,0
LKMB005_086,0,0,0,0.029781421,0,0,0,0,0,0,0,0,0.058128415,0,0.013592896,0,0,0,0.009357923,0,0.003142077,0,0,0,0,0.023019126,0,0.008469945,0,0,0,0,0,0,0,0,0,0,0.012568306,0,0.105874317,0,0,0,0,0.055601093,0.030669399,0.03681694,0,0,0,0,0,0,0.022745902,0,0,0,0.003551913,0,0.550409836,0,0.008811475,0,0,0,0,0.011885246,0.008743169,0.006010929,0,0,0
LKMB005_087,0,0.007111537,0,0.02605107,0.013412432,0,0,0,0,0,0,0,0.062566786,0,0,0,0,0,0.019602786,0,0.004495376,0,0,0.007258926,0,0.004126902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209513984,0,0,0,0,0,0.019639633,0.006006117,0,0,0,0,0,0,0.003242566,0,0,0,0.002173993,0.002173993,0.51656288,0,0,0,0,0.002395077,0,0,0.092781606,0,0,0,0
LKMB005_088,0,0,0,0.013776288,0.003718379,0,0,0,0,0,0,0,0.057360561,0.004754648,0,0,0,0,0.027064919,0,0,0,0,0.021761658,0.005303261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099908564,0,0.029929899,0,0,0,0.056872905,0,0,0,0.008046327,0,0,0,0,0,0,0.00347455,0,0,0.442182262,0.005851874,0,0,0,0,0,0.020725389,0.006461445,0.134958854,0,0.057848217,0
LKMB005_089,0,0.009429256,0,0.033925364,0,0,0,0,0,0.004490122,0,0.001297146,0.083017362,0,0,0,0,0.015914987,0,0,0.018409499,0,0,0,0,0,0,0,0,0,0,0,0,0.002444622,0,0,0,0,0,0,0.105767312,0,0.006785073,0,0,0,0,0,0,0,0,0,0,0,0.026192377,0,0,0,0.001746158,0,0.587457593,0,0,0,0,0.013270804,0,0.0102275,0.046547595,0.03307723,0,0,0
LKMB005_106,0,0,0,0.02479089,0.003829487,0.006348886,0,0,0,0,0.011589237,0,0.063488864,0,0,0,0,0,0.002317847,0,0.002620175,0,0,0,0,0.003728711,0,0,0,0,0,0,0,0,0.008666734,0,0,0,0.008465182,0,0.170916054,0,0,0,0.002519399,0,0.023178474,0,0.002317847,0,0.006348886,0,0,0,0.002821727,0.00927139,0,0,0.001108536,0.002217071,0.589237126,0,0,0,0,0,0,0.002116295,0.036178575,0.010984581,0,0,0.004938023
LKMB005_107,0,0.007665166,0.002433386,0.015086994,0,0,0,0,0,0.006813481,0,0,0.082370118,0,0,0,0,0,0.015330332,0,0.002190047,0,0,0.006813481,0,0.001338362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233726731,0,0.015573671,0,0,0.011315245,0.030295656,0.034067405,0,0,0,0,0,0,0.013261954,0,0,0,0.004623434,0,0.453218153,0,0,0,0,0,0,0.02263049,0.041245894,0,0,0,0
LKMB005_108,0,0,0,0.024124256,0,0,0,0,0,0,0,0,0.020158625,0,0,0,0,0,0.012227363,0,0,0,0,0.010575017,0,0.052544613,0,0,0,0,0,0,0.006609385,0,0,0,0.007931262,0,0.003304693,0,0.138466623,0.01354924,0.011566424,0,0,0,0.0042961,0,0,0,0,0.005287508,0,0.003965631,0,0,0,0.003304693,0,0,0.641440846,0,0,0,0,0.012227363,0,0,0.028420357,0,0,0,0
LKMB005_109,0,0,0,0.01801406,0,0.003368483,0,0,0,0,0,0,0.09314587,0,0,0,0,0.002343292,0.011570006,0,0.001757469,0,0,0.009666081,0,0.010837727,0.0076157,0,0,0,0,0,0,0.001171646,0,0,0,0,0.001611013,0.004247217,0.105008787,0,0,0.002050381,0,0,0.012155829,0,0,0,0,0,0.003222027,0,0.006297598,0,0,0,0.001318102,0,0.638107791,0,0.002489748,0.0076157,0.003222027,0.005711775,0,0.018892794,0.018599883,0.001464558,0,0.008494435,0
LKMB005_110,0,0.003210318,0,0.019959801,0,0.001144548,0,0,0,0,0,0,0.049606387,0,0,0.002289096,0,0,0.015604936,0,0.002484507,0,0.003098654,0,0,0.001004969,0,0,0,0.004689855,0,0.002121601,0,0,0,0,0,0,0,0,0.139606945,0,0.001982022,0,0,0,0.011277986,0,0,0,0,0,0,0,0.013650829,0,0,0,0,0.005555245,0.615906426,0,0,0,0,0.015297862,0,0.008542237,0.077494277,0.003182402,0,0,0
LKMB005_111,0,0.007311828,0,0.028387097,0,0,0,0,0,0,0,0,0.074193548,0,0,0,0,0,0.009462366,0,0,0.001505376,0,0.005591398,0,0.00344086,0,0,0,0,0,0.003870968,0,0.004946237,0,0,0,0,0,0.006021505,0.108172043,0,0,0,0.002795699,0.006451613,0.088817204,0,0,0,0,0.00516129,0,0,0.005591398,0,0,0,0.004731183,0,0.586236559,0,0,0,0,0.009032258,0,0,0.03483871,0.002580645,0,0,0
LKMB005_112,0,0.001166985,0,0.013579461,0.002121791,0,0,0,0,0,0,0,0.059304053,0,0,0,0,0,0.016337789,0,0,0,0.005304477,0.003394865,0,0.004880119,0,0,0,0,0,0,0,0,0,0,0,0,0.003819223,0,0.14056864,0,0.001379164,0,0,0,0.040844473,0,0,0,0,0,0.003925313,0,0.014428177,0,0,0,0.00233397,0.005198387,0.54848292,0,0,0.001273074,0,0.00466794,0,0.022172714,0.043390622,0.061425843,0,0,0
LKMB005_113,0,0,0,0.002798142,0,0,0.070177402,0,0,0,0,0.003973362,0.045665678,0,0.002518328,0,0,0,0,0,0.002294476,0,0,0,0,0.108455985,0,0,0,0,0,0,0.009345794,0.00374951,0,0,0,0,0.019531031,0.010129274,0.089820359,0,0,0,0.006771504,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004197213,0,0.56875035,0.009513683,0,0,0,0.002518328,0,0.023896133,0,0.013263193,0.001343108,0,0
