SampleID,Acinetobacter,Actinomyces,Aerococcus,Aeromonas,Aggregatibacter,Alloiococcus,Anaerobacillus,Anaerococcus,Anoxybacillus,Aquabacterium,Bacillus,Bacteroides,Bifidobacterium,Blautia,Brachybacterium,Brevundimonas,Burkholderia,Carnobacterium,Cellvibrio,Cloacibacterium,Clostridium,Corynebacterium,Cytophaga,Dialister,Enhydrobacter,Enterococcus,Faecalibacterium,Flavobacterium,Fusobacterium,Gardnerella,Gemella,Haemophilus,Halomonas,Janthinobacterium,Kocuria,Lactobacillus,Lactococcus,Leptotrichia,Massilia,Megasphaera,Microbacterium,Micrococcus,Moraxella,Mycobacterium,N09,Neisseria,Nocardioides,Novosphingobium,Paenibacillus,Paracoccus,Porphyromonas,Prevotella,Pseudomonas,Pseudonocardia,Sediminibacterium,Skermanella,Sphingobacterium,Sphingobium,Staphylococcus,Stenotrophomonas,Streptococcus,Streptomyces,Thermicanus,Veillonella,WAL_1855D,Cutibacterium,Ruminococcus
LK16S004-343,0.025089606,0,0,0,0,0,0.003037483,0.004009477,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005406719,0,0,0,0,0,0,0,0,0.023661989,0,0,0,0,0,0,0,0.003341231,0,0,0,0,0,0,0,0,0,0,0.002308487,0.005771217,0.005376344,0,0,0,0,0,0,0.875888464,0.003067857,0.028856084,0,0,0.002521111,0.009355446,0,0.002126238
LK16S004-344,0.008754527,0,0,0,0,0,0,0.003558495,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004251299,0,0.001070698,0.003652968,0.008439616,0,0,0,0,0.099606361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003652968,0.002456306,0.003338057,0,0,0,0,0,0.82109904,0,0.029223744,0,0,0,0.004723666,0,0
LK16S004-345,0.09509721,0,0,0,0,0,0,0,0,0,0,0,0,0.015215554,0,0,0,0,0,0,0,0.01255887,0,0,0,0.093285835,0,0,0,0,0.536408646,0,0,0,0,0.010626736,0,0,0.003139717,0,0,0,0,0,0,0,0,0,0,0,0,0.012196595,0.017268446,0.010264461,0.003864268,0,0,0,0.010626736,0.026144185,0.141468422,0,0,0,0,0.010626736,0
LK16S004-346,0.3960217,0,0,0.120253165,0,0,0,0,0,0,0,0,0,0,0,0.009041591,0,0,0.003390597,0,0,0.023432791,0,0,0,0,0,0,0,0,0.006027728,0,0.008438819,0,0,0.022528632,0,0,0,0,0,0.008890898,0,0,0,0,0,0.256479807,0,0,0,0.039406269,0.008363472,0.004068716,0,0,0,0,0.038200723,0,0.026295961,0,0,0.022227245,0,0.006931887,0
LK16S004-347,0.440557367,0,0,0,0,0,0,0.052179069,0,0.033501334,0,0,0,0,0,0,0,0,0.00296472,0,0,0,0,0,0,0,0.07767566,0,0,0,0.110880522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178476134,0,0,0,0,0,0.035280166,0,0,0.013341239,0,0,0,0.055143789,0
LK16S004-348,0.198809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004112554,0,0,0,0,0.048376623,0,0,0,0,0,0,0,0,0,0,0,0,0.558008658,0,0,0,0,0,0,0.009848485,0,0,0.03008658,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0.043831169,0,0.060930736,0,0,0,0,0,0.020995671
LK16S004-349,0.213387424,0,0,0.012981744,0,0,0,0,0,0,0.057200811,0,0,0,0,0.01663286,0,0,0,0.009736308,0,0.083975659,0,0,0.012981744,0.023123732,0,0,0.024340771,0,0,0,0,0,0,0.01703854,0,0,0,0,0,0,0,0,0,0.027991886,0,0,0,0,0,0.02474645,0.190263692,0,0,0.023935091,0,0,0.145638945,0,0.099391481,0.009330629,0,0,0,0.007302231,0
LK16S004-350,0.478629742,0,0,0,0,0,0.023691372,0,0,0,0.030094445,0,0.012325916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040819593,0,0.0152073,0,0,0,0.161037298,0,0,0,0.007683688,0,0.004802305,0,0,0,0,0,0,0,0,0,0,0.074275652,0,0,0,0,0,0,0.037618057,0.049143589,0.049303666,0,0,0,0.015367376,0
LK16S004-351,0.291342412,0,0,0,0,0,0.025291829,0,0,0,0,0.00729572,0,0,0,0,0,0,0.023184176,0,0,0.001621271,0,0,0,0.050097276,0,0,0,0.029831388,0,0.006322957,0.033236057,0,0,0.042477302,0,0.029669261,0.008268482,0,0.002756161,0.027237354,0.006322957,0.015888457,0,0.022049287,0,0,0.020103761,0.007944228,0,0.011511025,0.104409857,0,0,0.073119326,0,0,0.017509728,0,0.056906615,0.017023346,0.017996109,0.013942931,0,0.036640726,0
LK16S004-352,0.288485349,0.056128766,0,0,0,0,0,0,0,0,0,0.013206768,0.022492778,0,0,0,0,0,0,0,0,0.011762278,0,0,0,0.102352456,0,0,0,0.078002476,0,0,0,0,0,0.07635163,0,0,0,0,0,0.035080479,0,0.004333471,0,0,0,0,0,0,0,0,0.103177879,0,0,0,0,0.003920759,0.149401568,0,0,0.021667355,0,0,0,0.033635988,0
