SampleID,Acinetobacter,Actinobacillus,Actinomyces,Adlercreutzia,Aerococcus,Afipia,Agrobacterium,Anaerococcus,Anoxybacillus,Aquabacterium,Arthrobacter,Bacillus,Bacteroides,Bifidobacterium,Brachybacterium,Brevibacillus,Brevibacterium,Brevundimonas,Burkholderia,Caulobacter,Cloacibacterium,Coprococcus,Corynebacterium,Deinococcus,Delftia,Enhydrobacter,Enterobacter,Enterococcus,Flavobacterium,Fusobacterium,Gardnerella,Gemella,Haemophilus,Herbaspirillum,Hymenobacter,Hyphomicrobium,Janthinobacterium,Jeotgalicoccus,Kocuria,Kytococcus,Lactobacillus,Lactococcus,Leuconostoc,Macrococcus,Massilia,Microbacterium,Micrococcus,Mucispirillum,Neisseria,Oscillospira,Paracoccus,Peptoniphilus,Porphyromonas,Prevotella,Pseudomonas,Psychrobacter,Rhodococcus,Rothia,Ruminococcus,Sediminibacterium,Sphingobacterium,Staphylococcus,Stenotrophomonas,Streptococcus,Streptomyces,Turicibacter,Veillonella,Weissella,Cutibacterium
LK16S009-240,0.224299065,0.253671562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060080107,0,0,0,0,0,0,0,0,0,0,0,0,0.017356475,0,0,0,0,0,0,0,0.031375167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0.016688919,0,0,0,0,0,0.029372497,0,0.088785047,0.044058745,0,0,0,0.091455274
LK16S009-242,0.173758865,0,0,0,0,0,0,0,0,0,0,0.057033097,0,0.004432624,0,0,0,0,0.013888889,0.006501182,0,0,0.13179669,0,0,0,0,0,0,0,0.026300236,0,0,0.020685579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055260047,0,0,0,0,0,0,0.322399527,0,0,0.187943262,0,0,0,0
LK16S009-243,0.220858896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126789366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233128834,0,0,0,0,0,0,0.040899796,0,0,0.071574642,0,0.028629857,0,0.278118609
LK16S009-244,0.180929095,0,0,0,0,0.161369193,0,0,0,0,0,0.073349633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017114914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.425427873,0,0,0,0,0,0,0,0,0,0.141809291,0,0,0,0
LK16S009-245,0.324120603,0,0,0,0,0,0,0,0,0,0,0,0.013976131,0,0,0,0,0,0,0.025282663,0,0,0,0,0,0,0,0,0.045697236,0,0.008636935,0,0,0,0,0,0,0,0,0,0,0,0.021513819,0,0.010364322,0,0.016331658,0,0,0,0,0,0,0,0.219378141,0,0,0,0,0,0,0.238693467,0,0.042242462,0,0,0.013505025,0,0.020257538
LK16S009-246,0.123098202,0,0,0,0,0.222683264,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182572614,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131396957,0,0,0,0,0.116182573,0,0,0,0,0,0,0.024896266,0,0,0,0,0,0,0,0,0.116182573,0,0.082987552,0,0,0,0,0,0,0,0,0,0,0,0
LK16S009-247,0.24665392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147227533,0,0,0.063097514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026768642,0,0,0,0,0,0,0,0,0,0,0,0.434034417,0,0,0,0,0,0,0,0,0,0.063097514,0,0,0,0.019120459
LK16S009-248,0.414834141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052180395,0,0,0.071188968,0,0,0,0,0.100633619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004845322,0,0,0,0,0,0.051434961,0.1263511,0,0,0,0,0,0,0.010063362,0,0,0.090942974,0,0,0,0.077525158
LK16S009-249,0.396348884,0,0,0,0,0,0,0,0.002434077,0,0,0,0,0,0,0,0,0,0,0.002839757,0,0,0.019066937,0,0,0.030425963,0,0,0,0,0,0,0,0.095334686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148884381,0,0,0,0,0,0,0.119675456,0.006896552,0.097768763,0.061257606,0,0,0,0.019066937
LK16S009-250,0.466221232,0,0,0,0,0.056421678,0,0,0,0,0.025241277,0.042316258,0,0,0,0,0,0,0.066072754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061618411,0,0,0,0,0,0,0,0,0.153674833,0,0,0.019302153,0,0,0,0,0,0,0.101707498,0,0,0,0.007423905
LK16S009-251,0.206451613,0,0,0,0,0,0,0,0,0.172580645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108064516,0.064516129,0,0.093548387,0,0,0,0,0,0,0.032258065,0,0,0,0,0,0,0,0,0,0,0,0.241935484,0,0.016129032,0,0,0,0,0,0,0,0.064516129,0,0,0,0
LK16S009-252,0.296561605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067335244,0,0,0,0,0,0,0,0.137535817,0,0,0.114613181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037249284,0,0,0.173352436,0,0,0,0,0,0,0.081661891,0,0,0.091690544,0,0,0,0
